time,u_in,Vin,f_cmd,f_m,integral,uff
0.289,0.511600,0.511600,4.00,3.902182,0.312752,1.209231
0.290,0.512911,0.512911,4.00,3.900311,0.312851,1.209231
0.291,0.518904,0.518904,4.00,3.891751,0.312960,1.209231
0.292,0.519297,0.519297,4.00,3.891191,0.313068,1.209231
0.293,0.524039,0.524039,4.00,3.884418,0.313184,1.209231
0.294,0.532584,0.532584,4.00,3.872213,0.313312,1.209231
0.295,0.531259,0.531259,4.00,3.874108,0.313438,1.209231
0.296,0.529086,0.529086,4.00,3.877214,0.313560,1.209231
0.297,0.532599,0.532599,4.00,3.872198,0.313688,1.209231
0.298,0.531272,0.531272,4.00,3.874095,0.313814,1.209231
0.299,0.530112,0.530112,4.00,3.875753,0.313938,1.209231
0.300,0.529098,0.529098,4.00,3.877204,0.314061,1.209231
0.301,0.543923,0.543923,4.00,3.856027,0.314205,1.209231
0.302,0.545573,0.545573,4.00,3.853673,0.314352,1.209231
0.303,0.553774,0.553774,4.00,3.841958,0.314510,1.209231
0.304,0.562983,0.562983,4.00,3.828806,0.314681,1.209231
0.305,0.562238,0.562238,4.00,3.829872,0.314851,1.209231
0.306,0.561587,0.561587,4.00,3.830805,0.315020,1.209231
0.307,0.574212,0.574212,4.00,3.812771,0.315207,1.209231
0.308,0.599301,0.599301,4.00,3.776933,0.315430,1.209231
0.309,0.611587,0.611587,4.00,3.759386,0.315671,1.209231
0.310,0.622329,0.622329,4.00,3.744043,0.315927,1.209231
0.311,0.631722,0.631722,4.00,3.730629,0.316196,1.209231
0.312,0.644333,0.644333,4.00,3.712617,0.316484,1.209231
0.313,0.660601,0.660601,4.00,3.689382,0.316794,1.209231
0.314,0.669584,0.669584,4.00,3.676553,0.317118,1.209231
0.315,0.681837,0.681837,4.00,3.659053,0.317459,1.209231
0.316,0.692551,0.692551,4.00,3.643753,0.317815,1.209231
0.317,0.701920,0.701920,4.00,3.630375,0.318185,1.209231
0.318,0.725514,0.725514,4.00,3.596674,0.318588,1.209231
0.319,0.735140,0.735140,4.00,3.582929,0.319005,1.209231
0.320,0.743557,0.743557,4.00,3.570911,0.319434,1.209231
0.321,0.742120,0.742120,4.00,3.572970,0.319861,1.209231
0.322,0.745262,0.745262,4.00,3.568487,0.320293,1.209231
0.323,0.771848,0.771848,4.00,3.530513,0.320762,1.209231
0.324,0.788850,0.788850,4.00,3.506233,0.321256,1.209231
0.325,0.794919,0.794919,4.00,3.497570,0.321758,1.209231
0.326,0.791430,0.791430,4.00,3.502561,0.322256,1.209231
0.327,0.775184,0.775184,4.00,3.525776,0.322730,1.209231
0.328,0.801162,0.801162,4.00,3.488672,0.323241,1.209231
0.329,0.805240,0.805240,4.00,3.482854,0.323758,1.209231
0.330,0.809253,0.809253,4.00,3.477129,0.324281,1.209231
0.331,0.830355,0.830355,4.00,3.446990,0.324834,1.209231
0.332,0.848807,0.848807,4.00,3.420639,0.325414,1.209231
0.333,0.856144,0.856144,4.00,3.410165,0.326004,1.209231
0.334,0.864319,0.864319,4.00,3.398495,0.326605,1.209231
0.335,0.865311,0.865311,4.00,3.397088,0.327208,1.209231
0.336,0.870577,0.870577,4.00,3.389574,0.327818,1.209231
0.337,0.879580,0.879580,4.00,3.376721,0.328442,1.209231
0.338,0.887453,0.887453,4.00,3.365483,0.329076,1.209231
0.339,0.909147,0.909147,4.00,3.334500,0.329742,1.209231
0.340,0.917705,0.917705,4.00,3.322285,0.330419,1.209231
0.341,0.925188,0.925188,4.00,3.311605,0.331108,1.209231
0.342,0.927333,0.927333,4.00,3.308550,0.331799,1.209231
0.343,0.929210,0.929210,4.00,3.305879,0.332493,1.209231
0.344,0.932281,0.932281,4.00,3.301501,0.333192,1.209231
0.345,0.933538,0.933538,4.00,3.299716,0.333892,1.209231
0.346,0.947832,0.947832,4.00,3.279305,0.334613,1.209231
0.347,0.960332,0.960332,4.00,3.261460,0.335351,1.209231
0.348,0.962465,0.962465,4.00,3.258423,0.336093,1.209231
0.349,0.949468,0.949468,4.00,3.277000,0.336816,1.209231
0.350,0.952968,0.952968,4.00,3.272010,0.337544,1.209231
0.351,0.960428,0.960428,4.00,3.261365,0.338283,1.209231
0.352,0.982027,0.982027,4.00,3.230520,0.339052,1.209231
0.353,0.977040,0.977040,4.00,3.237654,0.339814,1.209231
0.354,0.972681,0.972681,4.00,3.243892,0.340570,1.209231
0.355,0.977668,0.977668,4.00,3.236780,0.341334,1.209231
0.356,0.968833,0.968833,4.00,3.249411,0.342084,1.209231
0.357,0.979635,0.979635,4.00,3.233990,0.342850,1.209231
0.358,0.979352,0.979352,4.00,3.234406,0.343616,1.209231
0.359,0.992301,0.992301,4.00,3.215919,0.344400,1.209231
0.360,0.990428,0.990428,4.00,3.218605,0.345181,1.209231
0.361,0.988792,0.988792,4.00,3.220954,0.345960,1.209231
0.362,0.982813,0.982813,4.00,3.229506,0.346731,1.209231
0.363,0.990932,0.990932,4.00,3.217919,0.347513,1.209231
0.364,1.002430,1.002430,4.00,3.201504,0.348311,1.209231
0.365,1.008087,1.008087,4.00,3.193435,0.349118,1.209231
0.366,1.013033,1.013033,4.00,3.186380,0.349932,1.209231
0.367,1.013443,1.013443,4.00,3.185806,0.350746,1.209231
0.368,1.017719,1.017719,4.00,3.179710,0.351566,1.209231
0.369,1.008263,1.008263,4.00,3.193229,0.352373,1.209231
0.370,0.999997,0.999997,4.00,3.205050,0.353168,1.209231
0.371,1.001567,1.001567,4.00,3.202818,0.353965,1.209231
0.372,0.979403,0.979403,4.00,3.234492,0.354731,1.209231
0.373,0.965969,0.965969,4.00,3.253694,0.355477,1.209231
0.374,0.963021,0.963021,4.00,3.257916,0.356219,1.209231
0.375,0.956046,0.956046,4.00,3.267891,0.356951,1.209231
0.376,0.945550,0.945550,4.00,3.282896,0.357668,1.209231
0.377,0.945557,0.945557,4.00,3.282896,0.358385,1.209231
0.378,0.885476,0.885476,4.00,3.368734,0.359017,1.209231
0.379,0.879451,0.879451,4.00,3.377350,0.359639,1.209231
0.380,0.860990,0.860990,4.00,3.403732,0.360235,1.209231
0.381,0.840450,0.840450,4.00,3.433082,0.360802,1.209231
0.382,0.806786,0.806786,4.00,3.481182,0.361321,1.209231
0.383,0.797457,0.797457,4.00,3.494516,0.361827,1.209231
0.384,0.789301,0.789301,4.00,3.506175,0.362321,1.209231
0.385,0.777772,0.777772,4.00,3.522652,0.362798,1.209231
0.386,0.767692,0.767692,4.00,3.537058,0.363261,1.209231
0.387,0.726438,0.726438,4.00,3.595998,0.363665,1.209231
0.388,0.714013,0.714013,4.00,3.613754,0.364051,1.209231
0.389,0.698751,0.698751,4.00,3.635561,0.364415,1.209231
0.390,0.694204,0.694204,4.00,3.642062,0.364773,1.209231
0.391,0.685831,0.685831,4.00,3.654029,0.365119,1.209231
0.392,0.676504,0.676504,4.00,3.667358,0.365452,1.209231
0.393,0.670355,0.670355,4.00,3.676146,0.365776,1.209231
0.394,0.669378,0.669378,4.00,3.677547,0.366098,1.209231
0.395,0.668524,0.668524,4.00,3.678772,0.366420,1.209231
0.396,0.672176,0.672176,4.00,3.673560,0.366746,1.209231
0.397,0.669914,0.669914,4.00,3.676795,0.367069,1.209231
0.398,0.664596,0.664596,4.00,3.684397,0.367385,1.209231
0.399,0.651149,0.651149,4.00,3.703611,0.367681,1.209231
0.400,0.639393,0.639393,4.00,3.720410,0.367961,1.209231
0.401,0.637910,0.637910,4.00,3.722532,0.368238,1.209231
0.402,0.623390,0.623390,4.00,3.743279,0.368495,1.209231
0.403,0.616135,0.616135,4.00,3.753646,0.368741,1.209231
0.404,0.606191,0.606191,4.00,3.767855,0.368973,1.209231
0.405,0.600085,0.600085,4.00,3.776581,0.369197,1.209231
0.406,0.599145,0.599145,4.00,3.777927,0.369419,1.209231
0.407,0.585129,0.585129,4.00,3.797954,0.369621,1.209231
0.408,0.577272,0.577272,4.00,3.809180,0.369812,1.209231
0.409,0.568240,0.568240,4.00,3.822085,0.369990,1.209231
0.410,0.558107,0.558107,4.00,3.836563,0.370153,1.209231
0.411,0.553647,0.553647,4.00,3.842938,0.370310,1.209231
0.412,0.549746,0.549746,4.00,3.848512,0.370462,1.209231
0.413,0.550735,0.550735,4.00,3.847102,0.370615,1.209231
0.414,0.556752,0.556752,4.00,3.838509,0.370776,1.209231
0.415,0.570055,0.570055,4.00,3.819507,0.370957,1.209231
0.416,0.581687,0.581687,4.00,3.802892,0.371154,1.209231
0.417,0.574264,0.574264,4.00,3.813499,0.371340,1.209231
0.418,0.572173,0.572173,4.00,3.816489,0.371524,1.209231
0.419,0.559948,0.559948,4.00,3.833956,0.371690,1.209231
