time,u_in,Vin,f_cmd,f_m,integral,uff
0.333,0.575166,0.575166,4.00,3.806906,0.363238,1.209231
0.334,0.585250,0.585250,4.00,3.792500,0.363446,1.209231
0.335,0.594067,0.594067,4.00,3.779905,0.363666,1.209231
0.336,0.612914,0.612914,4.00,3.752981,0.363913,1.209231
0.337,0.618254,0.618254,4.00,3.745351,0.364167,1.209231
0.338,0.622923,0.622923,4.00,3.738681,0.364429,1.209231
0.339,0.622608,0.622608,4.00,3.739132,0.364690,1.209231
0.340,0.626730,0.626730,4.00,3.733243,0.364956,1.209231
0.341,0.642282,0.642282,4.00,3.711026,0.365245,1.209231
0.342,0.648330,0.648330,4.00,3.702386,0.365543,1.209231
0.343,0.649220,0.649220,4.00,3.701115,0.365842,1.209231
0.344,0.649998,0.649998,4.00,3.700003,0.366142,1.209231
0.345,0.650678,0.650678,4.00,3.699032,0.366443,1.209231
0.346,0.655638,0.655638,4.00,3.691946,0.366751,1.209231
0.347,0.660008,0.660008,4.00,3.685703,0.367065,1.209231
0.348,0.663828,0.663828,4.00,3.680245,0.367385,1.209231
0.349,0.658372,0.658372,4.00,3.688039,0.367697,1.209231
0.350,0.662398,0.662398,4.00,3.682288,0.368015,1.209231
0.351,0.677240,0.677240,4.00,3.661086,0.368354,1.209231
0.352,0.701228,0.701228,4.00,3.626817,0.368727,1.209231
0.353,0.704267,0.704267,4.00,3.622476,0.369104,1.209231
0.354,0.698128,0.698128,4.00,3.631246,0.369473,1.209231
0.355,0.700708,0.700708,4.00,3.627560,0.369845,1.209231
0.356,0.703812,0.703812,4.00,3.623125,0.370222,1.209231
0.357,0.706527,0.706527,4.00,3.619248,0.370603,1.209231
0.358,0.713298,0.713298,4.00,3.609574,0.370994,1.209231
0.359,0.714820,0.714820,4.00,3.607400,0.371386,1.209231
0.360,0.745891,0.745891,4.00,3.563012,0.371823,1.209231
0.361,0.756512,0.756512,4.00,3.547839,0.372275,1.209231
0.362,0.761401,0.761401,4.00,3.540856,0.372734,1.209231
0.363,0.761276,0.761276,4.00,3.541034,0.373193,1.209231
0.364,0.761167,0.761167,4.00,3.541189,0.373652,1.209231
0.365,0.769233,0.769233,4.00,3.529667,0.374123,1.209231
0.366,0.776921,0.776921,4.00,3.518685,0.374604,1.209231
0.367,0.779244,0.779244,4.00,3.515365,0.375088,1.209231
0.368,0.785674,0.785674,4.00,3.506180,0.375582,1.209231
0.369,0.791296,0.791296,4.00,3.498149,0.376084,1.209231
0.370,0.787867,0.787867,4.00,3.503047,0.376581,1.209231
0.371,0.784417,0.784417,4.00,3.507976,0.377073,1.209231
0.372,0.790196,0.790196,4.00,3.499719,0.377573,1.209231
0.373,0.795250,0.795250,4.00,3.492500,0.378081,1.209231
0.374,0.799668,0.799668,4.00,3.486188,0.378595,1.209231
0.375,0.823397,0.823397,4.00,3.452290,0.379142,1.209231
0.376,0.841871,0.841871,4.00,3.425898,0.379717,1.209231
0.377,0.860800,0.860800,4.00,3.398857,0.380318,1.209231
