time,u_in,Vin,f_cmd,f_m,integral,uff
0.273,0.363939,0.363939,4.00,4.154041,0.317672,1.209231
0.274,0.358183,0.358183,4.00,4.162240,0.317510,1.209231
0.275,0.336668,0.336668,4.00,4.192949,0.317317,1.209231
0.276,0.329932,0.329932,4.00,4.202542,0.317114,1.209231
0.277,0.319640,0.319640,4.00,4.217214,0.316897,1.209231
0.278,0.310638,0.310638,4.00,4.230041,0.316667,1.209231
0.279,0.310615,0.310615,4.00,4.230041,0.316437,1.209231
0.280,0.309241,0.309241,4.00,4.231971,0.316205,1.209231
0.281,0.297137,0.297137,4.00,4.249227,0.315956,1.209231
0.282,0.282150,0.282150,4.00,4.270598,0.315685,1.209231
0.283,0.269041,0.269041,4.00,4.289283,0.315396,1.209231
0.284,0.270771,0.270771,4.00,4.286771,0.315109,1.209231
0.285,0.273625,0.273625,4.00,4.282654,0.314827,1.209231
0.286,0.261575,0.261575,4.00,4.299825,0.314527,1.209231
0.287,0.255434,0.255434,4.00,4.308554,0.314218,1.209231
0.288,0.250059,0.250059,4.00,4.316187,0.313902,1.209231
0.289,0.254153,0.254153,4.00,4.310294,0.313592,1.209231
0.290,0.236149,0.236149,4.00,4.335967,0.313256,1.209231
0.291,0.241981,0.241981,4.00,4.327589,0.312928,1.209231
0.292,0.247077,0.247077,4.00,4.320263,0.312608,1.209231
0.293,0.247130,0.247130,4.00,4.320141,0.312288,1.209231
0.294,0.255970,0.255970,4.00,4.307468,0.311980,1.209231
0.295,0.256557,0.256557,4.00,4.306586,0.311674,1.209231
0.296,0.246611,0.246611,4.00,4.320749,0.311353,1.209231
0.297,0.242308,0.242308,4.00,4.326849,0.311026,1.209231
0.298,0.251738,0.251738,4.00,4.313333,0.310713,1.209231
0.299,0.279858,0.279858,4.00,4.273123,0.310440,1.209231
0.300,0.302162,0.302162,4.00,4.241226,0.310198,1.209231
0.301,0.321663,0.321663,4.00,4.213337,0.309985,1.209231
0.302,0.334314,0.334314,4.00,4.195236,0.309790,1.209231
0.303,0.359461,0.359461,4.00,4.159288,0.309630,1.209231
0.304,0.376161,0.376161,4.00,4.135413,0.309495,1.209231
0.305,0.386363,0.386363,4.00,4.120821,0.309374,1.209231
0.306,0.399682,0.399682,4.00,4.101779,0.309272,1.209231
0.307,0.415726,0.415726,4.00,4.078847,0.309194,1.209231
0.308,0.437630,0.437630,4.00,4.047549,0.309146,1.209231
0.309,0.448909,0.448909,4.00,4.031432,0.309115,1.209231
0.310,0.463170,0.463170,4.00,4.011057,0.309104,1.209231
0.311,0.484439,0.484439,4.00,3.980676,0.309123,1.209231
0.312,0.494240,0.494240,4.00,3.966679,0.309156,1.209231
0.313,0.514701,0.514701,4.00,3.937458,0.309219,1.209231
0.314,0.533901,0.533901,4.00,3.910042,0.309309,1.209231
0.315,0.555091,0.555091,4.00,3.879789,0.309429,1.209231
0.316,0.569223,0.569223,4.00,3.859620,0.309569,1.209231
