time,u_in,Vin,f_cmd,f_m,integral,uff
0.218,2.458979,2.458979,4.00,1.981021,0.229633,1.209231
0.219,2.468283,2.468283,4.00,1.971717,0.231661,1.209231
0.220,2.457569,2.457569,4.00,1.982431,0.233679,1.209231
0.221,2.440799,2.440799,4.00,1.999201,0.235679,1.209231
0.222,2.433539,2.433539,4.00,2.006461,0.237673,1.209231
0.223,2.427190,2.427190,4.00,2.012810,0.239660,1.209231
0.224,2.421640,2.421640,4.00,2.018360,0.241642,1.209231
0.225,2.404220,2.404220,4.00,2.035780,0.243606,1.209231
0.226,2.352120,2.352120,4.00,2.087880,0.245518,1.209231
0.227,2.330870,2.330870,4.00,2.109130,0.247409,1.209231
0.228,2.299724,2.299724,4.00,2.140276,0.249269,1.209231
0.229,2.278775,2.278775,4.00,2.161225,0.251108,1.209231
0.230,2.260459,2.260459,4.00,2.179541,0.252928,1.209231
0.231,2.206100,2.206100,4.00,2.233900,0.254694,1.209231
0.232,2.165500,2.165500,4.00,2.274500,0.256420,1.209231
0.233,2.111153,2.111153,4.00,2.328847,0.258091,1.209231
0.234,2.063636,2.063636,4.00,2.376364,0.259714,1.209231
0.235,2.022089,2.022089,4.00,2.417911,0.261296,1.209231
0.236,1.929660,1.929660,4.00,2.510340,0.262786,1.209231
0.237,1.892383,1.892383,4.00,2.547617,0.264239,1.209231
0.238,1.840941,1.840941,4.00,2.599059,0.265639,1.209231
0.239,1.783397,1.783397,4.00,2.656603,0.266983,1.209231
0.240,1.714234,1.714234,4.00,2.725766,0.268257,1.209231
0.241,1.630728,1.630728,4.00,2.809272,0.269448,1.209231
0.242,1.580750,1.580750,4.00,2.859250,0.270589,1.209231
0.243,1.518204,1.518204,4.00,2.921796,0.271667,1.209231
0.244,1.450951,1.450951,4.00,2.989049,0.272678,1.209231
0.245,1.385865,1.385865,4.00,3.054135,0.273624,1.209231
0.246,1.277625,1.277625,4.00,3.162375,0.274461,1.209231
0.247,1.221754,1.221754,4.00,3.218246,0.275243,1.209231
0.248,1.154055,1.154055,4.00,3.285945,0.275957,1.209231
0.249,1.094863,1.094863,4.00,3.345137,0.276612,1.209231
0.250,1.030543,1.030543,4.00,3.409457,0.277202,1.209231
0.251,0.907075,0.907075,4.00,3.532925,0.277670,1.209231
0.252,0.853787,0.853787,4.00,3.586213,0.278083,1.209231
0.253,0.807195,0.807195,4.00,3.632805,0.278450,1.209231
0.254,0.807195,0.807195,4.00,3.632805,0.278818,1.209231
0.255,0.701003,0.701003,4.00,3.738997,0.279079,1.209231
0.256,0.572716,0.572716,4.00,3.867284,0.279211,1.209231
0.257,0.523746,0.523746,4.00,3.916254,0.279295,1.209231
0.258,0.462079,0.462079,4.00,3.977921,0.279317,1.209231
0.259,0.401879,0.401879,4.00,4.038121,0.279279,1.209231
0.260,0.342960,0.342960,4.00,4.097040,0.279182,1.209231
0.261,0.222851,0.222851,4.00,4.217149,0.278965,1.209231
0.262,0.167580,0.167580,4.00,4.272420,0.278692,1.209231
0.263,0.119255,0.119255,4.00,4.320745,0.278372,1.209231
0.264,0.064436,0.064436,4.00,4.375564,0.277996,1.209231
0.265,0.003939,0.003939,4.00,4.436061,0.277560,1.209231
0.266,-0.095202,0.000000,4.00,4.535202,0.277025,1.209231
0.267,-0.141921,0.000000,4.00,4.581921,0.276443,1.209231
0.268,-0.189052,0.000000,4.00,4.629052,0.275814,1.209231
0.269,-0.236544,0.000000,4.00,4.676544,0.275137,1.209231
0.270,-0.290634,0.000000,4.00,4.730634,0.274407,1.209231
0.271,-0.360428,0.000000,4.00,4.800428,0.273606,1.209231
0.272,-0.373818,0.000000,4.00,4.813818,0.272793,1.209231
